,name,lat,lon,zipcode
182,"Payment Alliance International, Inc.",37.5846588,-77.44084819999999,23222
183,ATM Express,37.5846588,-77.44084819999999,23222
184,ATM (BP),37.6398077,-77.58876149999999,23233
185,Cardtronics ATM,37.60271599999999,-77.51230300000002,23230
186,Peoples Advantage Federal Credit Union,37.6022794,-77.5121143,United States
187,Alexander Financial Services Inc,37.6108717,-77.5149469,23228
188,Virginia Credit Union,37.608867,-77.515766,23228
189,"Payment Alliance International, Inc.",37.6099606,-77.51381649999999,23228
190,Wells Fargo ATM,37.6108085,-77.5204688,23294
191,Wells Fargo Bank,37.6107872,-77.5204352,23294
192,ATM (Glenside Convenience),37.6099566,-77.5138001,23228
193,Cardtronics ATM,37.5991319,-77.5134805,23230
194,PNC Bank ATM,37.6098717,-77.5200657,23294
195,SunTrust,37.3028783,-77.28748259999999,23860
196,Hopewell Chemical FCU,37.29467359999999,-77.29282660000001,23860
197,ATM (Petrol Midget Mart),37.30244769999999,-77.2869152,23860
198,SunTrust ATM,37.3023144,-77.28799289999999,23860
199,BB&T ATM,37.30201770000001,-77.28874909999999,23860
200,ATM,37.3040899,-77.2838799,23860
201,ATM Express,37.3043154,-77.28720009999999,23860
202,ATM (Petrol Midget Mart),37.29124,-77.29257849999999,23860
203,ATM (Salem Brothers Inc Two),37.3198526,-77.30652789999999,23836
204,Access to Money,37.39567100000001,-77.780001,23120
205,ATM,37.39567100000001,-77.780001,23120
206,ATM Express,37.62076940000001,-77.5536351,23229
207,Cardtronics ATM,37.61141900000001,-77.56433299999999,23229
208,PNC Bank ATM at Wawa,37.6636484,-77.6498093,23233
209,PNC Bank ATM,37.66368039999999,-77.6498846,23233
210,Wells Fargo Bank,37.44689510000001,-77.57289109999999,23236
211,ATM (Wells Fargo Bank),37.4469054,-77.5729303,23236
212,Argent Credit Union,37.44365239999999,-77.5775281,23236
213,ATM Argent Federal Cu,37.4436762,-77.5773871,23236
214,ATM (Sheetz),37.44837070000001,-77.56830310000001,23236
215,PNC Bank ATM,37.44813919999999,-77.5685678,23236
216,ecoATM,37.5041637,-77.62982,23113
217,Carrollton Bank,37.5042048,-77.6296981,23113
218,Cardtronics ATM,37.5019374,-77.6395988,23114
219,1st Advantage Federal Credit Union,37.4977737,-77.4672097,23249
220,ATM,37.5025629,-77.4673962,23224
221,BP,37.5018562,-77.4671968,23224
222,ATM,37.506189,-77.467742,23224
223,ATM,37.497146,-77.4599855,23224
